PROP_ID,CITY,PRICE,AREA,PROPERTY_TYPE,FURNISH,FACING,AGE,BEDROOM_NUM,BALCONY_NUM,FLOOR_NUM,LOCALITY_NAME,LUXURY_CATEGORY,PROP_HEADING,DESCRIPTION,PROP_NAME,LATITUDE,LONGITUDE,SOCIETY_NAME
https://99acres.com/HTTPS://99ACRES.COM/A70699844,thane,23000000.0,1040.0,residential apartment,semifurnished,north-west,1-5 year old property,2.0,1.0,high rise,balkum,1,2 bhk flat in balkum,"piramal vaikunth is one of thane's most sought after destination for apartments and this 2 bhk flat in balkum is your opportunity to be a part of this community. this property faces the east direction. containing 2 bedroom(s), 2 bathrooms and 1 balcony, this flat is spread over a carpet area of 1040 sq.ft. this flat is situated on the 18th floor of this 32 floors tall residential building. this 1-5 years old property is available for immediate possession as the project is ready to move. the floor of this flat is beautifully designed using vitrified flooring, giving the flat an alluring look. this flat is located near close to school, close to metro station, close to hospital and close to market. many of the modern amenities being offered, like swimming pool, club house / community center, fitness centre / gym, park, lift(s), visitor parking, maintenance staff, shopping centre, security personnel and water softening plant, will provide a pleasant living experience for you. the housing society ensures a continuous supply of water to your flat from borewell/tank and municipal corporation.  additional details :  piped gas facility is available in the property. the apartment has borings water supply. daily needs shopping could be done within the society premises to make the stay convinent. full power backup is available. there is also a separate washroom for domestic help. the society has dedicated security guards for every tower.",piramal vaikunth,19.223389,72.989916,piramal vaikunth
https://99acres.com/HTTPS://99ACRES.COM/H69523096,central mumbai suburbs,9099000.0,481.0,residential apartment,semifurnished,east,under construction,2.0,99.0,low rise,bhandup west,2,2 bhk flat in bhandup west,"enjoy a blissful living experience in marathon neovalley. this residential project encompasses 2 bhk apartments in bhandup west, central mumbai suburbs and brings you the best of both the worlds – excellent aesthetics and exemplary lifestyle. its unique highlights include facilities like gated community, school, wi-fi connectivity, gymnasium, car parking and many others.  all of these and the other features make this project a true value for money. and you can now buy your exclusive 2 bhk apartment with a carpet area of 481.0 sq. ft. is available at rs. 90.99 lac.",marathon neovalley,19.148382,72.932412,marathon neovalley
https://99acres.com/HTTPS://99ACRES.COM/X70319554,mumbai south west,27700000.0,749.0,residential apartment,semifurnished,east,under construction,2.0,99.0,low rise,santacruz east,2,2 bhk flat in santacruz east,"book your 2 bhk flat in santacruz east, mumbai south west with kolte alora. it has a carpet area of 749.0 sq. ft. and is available at a price of rs. 2.77 crore.  it is an under construction property. kolte alora has 5 towers and features an array of facilities including a amphitheatre, flower garden, infinity pool, waste management and entrance lobby.",kolte alora,19.081032,72.857794,kolte alora
https://99acres.com/HTTPS://99ACRES.COM/P68170490,south mumbai,48600000.0,1215.0,residential apartment,semifurnished,east,under construction,3.0,99.0,low rise,lower parel,2,3 bhk flat in lower parel,"there is a 3 bhk apartment in lower parel, south mumbai for sale in arihant towers by mj shah.  with a carpet area of 1215.0 sq. ft, the residential apartment is available at a price of rs. 4.86 crore.   arihant towers by mj shah is meticulously designed to bring you an awe-inspiring lifestyle and convenience.  it hosts a series of facilities like a multipurpose hall, 24/7 power backup, children's play area, sun deck, yoga/meditation area, etc. and all the other essential things to fulfill the residents’ everyday needs are located within. the project is equipped with the most necessary safety and security features. each tower has a cctv surveillance and fire prevention systems in place.",arihant towers by mj shah,18.999908,72.846725,arihant towers by mj shah
https://99acres.com/HTTPS://99ACRES.COM/S70951224,navi mumbai,3600000.0,339.0,residential apartment,semifurnished,east,under construction,1.0,99.0,low rise,shilphata,2,1 bhk flat in shilphata,"mansarovar residency is a residential project, offering a range of 1 bhk flats in shilphata, navi mumbai. it hosts exclusively designed 5 towers, each presenting an epitome of class and simplicity. we bring you a chance to book your 1 bhk flat that has a carpet area of 339.0 sq. ft.   it is a ready to move property. with an impressive layout and a comprehensive range of amenities like car parking, vastu compliant, 24x7 security, paved compound, children's play area, etc., the project leaves no stone unturned to amaze.",mansarovar residency,19.14499,73.037922,mansarovar residency
https://99acres.com/HTTPS://99ACRES.COM/X70711192,navi mumbai,12400000.0,922.0,residential apartment,semifurnished,east,under construction,3.0,99.0,low rise,new panvel,2,3 bhk flat in new panvel,"marathon nexzone is a ready to move project, offering a great 3 bhk flat in new panvel, navi mumbai. the unit has a carpet area of 922.0 sq. ft. and is available at a price of rs. 1.24 crore.   marathon nexzone is well connected to the city areas and features a large number of amenities to fit your needs. it is equipped with highlights such as table tennis, fire fighting systems, carrom, rain water harvesting, multipurpose court, etc. that make it one of the most sought after neighborhoods.",marathon nexzone,18.965842,73.126869,marathon nexzone
https://99acres.com/HTTPS://99ACRES.COM/B70422166,mumbai beyond thane,7000000.0,665.0,residential apartment,semifurnished,east,0-1 year old property,2.0,99.0,low rise,kalyan west,0,2 bhk flat in kalyan west,"book a spectacular property in kailash gardens lotus that brings 2 bhk apartments in kalyan west, mumbai beyond thane. we have a 2 bhk apartment with a carpet area of 665.0 sq. ft., available at an economical price of rs. 70 lac.  a close attention has been paid to each detail for a comfortable living. there are 9 towers in kailash gardens lotus. further, you can stay assured of entrance lobby, car parking, 24/7 water supply, club house, landscape garden, etc. loaded with all the modern amenities, the project is certainly a steal deal.",kailash gardens lotus,19.250323,73.152859,kailash gardens lotus
https://99acres.com/HTTPS://99ACRES.COM/X70527742,central mumbai suburbs,11000000.0,471.0,residential apartment,semifurnished,east,under construction,1.0,99.0,low rise,ghatkopar west,2,1 bhk flat in ghatkopar west,"enjoy a blissful living experience in sanyam ashok odyssey. this residential project encompasses 1 bhk apartments in ghatkopar west, central mumbai suburbs and brings you the best of both the worlds – excellent aesthetics and exemplary lifestyle. its unique highlights include facilities like solar water heating, solar lighting, fire fighting systems, car parking, 24/7 water supply and many others.  all of these and the other features make this project a true value for money. and you can now buy your exclusive 1 bhk apartment with a carpet area of 471.0 sq. ft. is available at rs. 1.1 crore.",sanyam ashok odyssey,19.090836,72.907767,sanyam ashok odyssey
https://99acres.com/HTTPS://99ACRES.COM/X70972548,central mumbai suburbs,12500000.0,550.0,residential apartment,semifurnished,east,under construction,2.0,99.0,low rise,vikhroli east,1,2 bhk flat in vikhroli east,"let your dream of owning a flat come true with natasha atlantis. it offers an exclusive range of 2 bhk flats in vikhroli east, central mumbai suburbs. we bring you an amazing deal of a 2 bhk that is currently available at price of rs. 1.25 crore and has a carpet area of 550.0 sq. ft.   natasha atlantis is a secured gated community that further has 24x7 security systems. it has round the clock water supply and features many more attractive facilities with a host of amenities like amphitheatre, multipurpose court, rain water harvesting, landscape garden, chess, etc. ",natasha atlantis,19.119258908315,72.937140827007,natasha atlantis
https://99acres.com/HTTPS://99ACRES.COM/D70633690,south mumbai,24100000.0,450.0,residential apartment,semifurnished,east,under construction,2.0,99.0,low rise,dadar,2,2 bhk flat in dadar,"book your 2 bhk apartment in nine reflex, dadar, south mumbai. having a carpet area of 450.0 sq. ft., the property is well ventilated and promises an exclusive view and refreshing vibes.  the project is a superbly designed project set amidst excellent surroundings and offers residents a world-class infrastructure. look at its range of general amenities that include rain water harvesting, terrace garden, entrance lobby, gated community, fire fighting systems and what not. now, you can buy this exclusive 2 bhk apartment at rs. 2.41 crore.",nine reflex,18.8609579,77.5193362,nine reflex
